,module,size,size_byte
0,tensorflow,320.4 MB,320400000
1,scipy,25.9 MB,25900000
2,pyarrow,17.7 MB,17700000
3,numpy,14.5 MB,14500000
4,matplotlib,11.6 MB,11600000
5,tensorboard,10.6 MB,10600000
6,pandas,9.5 MB,9500000
7,notebook,9.5 MB,9500000
8,streamlit,7.4 MB,7400000
9,scikit_learn,6.8 MB,6800000
10,botocore,6.8 MB,6800000
11,pydeck,4.5 MB,4500000
12,grpcio,3.8 MB,3800000
13,h5py,2.9 MB,2900000
14,widgetsnbextension,2.2 MB,2200000
15,Pillow,2.2 MB,2200000
16,jedi,1.4 MB,1400000
17,kiwisolver,1.1 MB,1100000
18,pyzmq,1.1 MB,1100000
19,protobuf,1.0 MB,1000000
20,Pygments,948 kB,948000
21,ipython,784 kB,784000
22,tensorboard_plugin_wit,779 kB,779000
23,altair,727 kB,727000
24,nbconvert,552 kB,552000
25,pytz,509 kB,509000
26,tensorflow_estimator,459 kB,459000
27,tornado,428 kB,428000
28,cffi,401 kB,401000
29,prompt_toolkit,355 kB,355000
30,joblib,301 kB,301000
31,Werkzeug,298 kB,298000
32,PyYAML,269 kB,269000
33,python_dateutil,227 kB,227000
34,nbformat,172 kB,172000
35,testpath,163 kB,163000
36,GitPython,159 kB,159000
37,certifi,155 kB,155000
38,pyasn1_modules,155 kB,155000
39,oauthlib,147 kB,147000
40,bleach,145 kB,145000
41,urllib3,136 kB,136000
42,chardet,133 kB,133000
43,boto3,129 kB,129000
44,absl_py,127 kB,127000
45,Jinja2,125 kB,125000
46,ipywidgets,121 kB,121000
47,ipykernel,120 kB,120000
48,google_auth,114 kB,114000
49,pycparser,112 kB,112000
50,blinker,111 kB,111000
51,parso,109 kB,109000
52,jupyter_client,108 kB,108000
53,pyrsistent,106 kB,106000
54,traitlets,100 kB,100000
55,argon2_cffi,97 kB,97000
56,Markdown,96 kB,96000
57,watchdog,94 kB,94000
58,jupyter_core,82 kB,82000
59,click,82 kB,82000
60,pyasn1,77 kB,77000
61,s3transfer,69 kB,69000
62,pyparsing,67 kB,67000
63,nbclient,65 kB,65000
64,opt_einsum,65 kB,65000
65,gitdb,63 kB,63000
66,requests,61 kB,61000
67,pexpect,59 kB,59000
68,idna,58 kB,58000
69,google_pasta,57 kB,57000
70,jsonschema,56 kB,56000
71,toolz,55 kB,55000
72,prometheus_client,53 kB,53000
73,attrs,49 kB,49000
74,rsa,47 kB,47000
75,Keras_Preprocessing,42 kB,42000
76,ptyprocess,39 kB,39000
77,packaging,37 kB,37000
78,Keras,36 kB,36000
79,scikit_plot,33 kB,33000
80,importlib_metadata,31 kB,31000
81,wcwidth,30 kB,30000
82,MarkupSafe,27 kB,27000
83,astor,27 kB,27000
84,wrapt,27 kB,27000
85,ipython_genutils,26 kB,26000
86,smmap,25 kB,25000
87,jmespath,24 kB,24000
88,requests_oauthlib,23 kB,23000
89,defusedxml,23 kB,23000
90,validators,19 kB,19000
91,async_generator,18 kB,18000
92,google_auth_oauthlib,18 kB,18000
93,toml,16 kB,16000
94,pandocfilters,16 kB,16000
95,mistune,16 kB,16000
96,tzlocal,16 kB,16000
97,terminado,13 kB,13000
98,astunparse,12 kB,12000
99,Send2Trash,12 kB,12000
100,threadpoolctl,12 kB,12000
101,pathtools,11 kB,11000
102,entrypoints,11 kB,11000
103,backcall,11 kB,11000
104,webencodings,11 kB,11000
105,six,10 kB,10000
106,cachetools,10 kB,10000
107,gast,9.7 kB,9700
108,decorator,9.2 kB,9200
109,pickleshare,6.9 kB,6900
110,cycler,6.5 kB,6500
111,nest_asyncio,5.3 kB,5300
112,zipp,5.2 kB,5200
113,jupyterlab_pygments,4.6 kB,4600
114,base58,4.3 kB,4300
115,termcolor,3.9 kB,3900
116,enum_compat,1.3 kB,1300
