iter	Passed	Remaining
0	252	24966
1	345	16918
2	435	14093
3	527	12659
4	617	11727
5	762	11952
6	905	12025
7	990	11388
8	1089	11014
9	1176	10589
10	1278	10340
11	1373	10072
12	1470	9838
13	1552	9533
14	1643	9310
15	1729	9082
16	1812	8849
17	1895	8633
18	1977	8431
19	2107	8431
20	2190	8239
21	2272	8058
22	2355	7886
23	2443	7737
24	2526	7579
25	2630	7487
26	2721	7357
27	2807	7219
28	2897	7093
29	2986	6968
30	3113	6929
31	3202	6804
32	3294	6688
33	3381	6563
34	3467	6439
35	3555	6320
36	3645	6208
37	3734	6093
38	3826	5985
39	3915	5872
40	4002	5760
41	4139	5716
42	4225	5601
43	4307	5482
44	4389	5364
45	4471	5248
46	4553	5135
47	4640	5026
48	4726	4918
49	4806	4806
50	4885	4694
51	4966	4584
52	5088	4512
53	5182	4414
54	5273	4315
55	5356	4208
56	5437	4102
57	5516	3994
58	5599	3891
59	5679	3786
60	5764	3685
61	5845	3582
62	5926	3480
63	6008	3379
64	6137	3304
65	6220	3204
66	6301	3103
67	6381	3003
68	6465	2904
69	6547	2806
70	6645	2714
71	6726	2615
72	6810	2518
73	6893	2422
74	6975	2325
75	7100	2242
76	7181	2145
77	7262	2048
78	7345	1952
79	7428	1857
80	7511	1761
81	7593	1666
82	7673	1571
83	7757	1477
84	7838	1383
85	7919	1289
86	7999	1195
87	8126	1108
88	8208	1014
89	8290	921
90	8368	827
91	8448	734
92	8529	642
93	8614	549
94	8695	457
95	8784	366
96	8865	274
97	8946	182
98	9073	91
99	9155	0
