iter	Passed	Remaining
0	77	77787
1	143	71655
2	182	60643
3	219	54740
4	259	51606
5	296	49152
6	332	47189
7	370	45939
8	407	44816
9	444	43971
10	481	43259
11	520	42855
12	556	42273
13	593	41778
14	644	42293
15	738	45422
16	776	44919
17	817	44585
18	851	43969
19	891	43670
20	928	43289
21	962	42793
22	999	42447
23	1034	42070
24	1069	41726
25	1103	41351
26	1141	41152
27	1182	41064
28	1217	40749
29	1255	40610
30	1292	40392
31	1327	40142
32	1361	39894
33	1396	39669
34	1430	39437
35	1464	39217
36	1499	39015
37	1533	38818
38	1565	38576
39	1596	38327
40	1629	38109
41	1669	38073
42	1703	37912
43	1739	37802
44	1775	37687
45	1809	37537
46	1842	37352
47	1873	37157
48	1905	36985
49	1937	36806
50	1969	36641
51	1999	36460
52	2033	36339
53	2068	36242
54	2103	36140
55	2136	36011
56	2169	35890
57	2207	35848
58	2243	35774
59	2275	35643
60	2306	35511
61	2340	35402
62	2372	35291
63	2404	35168
64	2436	35051
65	2468	34934
66	2501	34832
67	2533	34729
68	2565	34615
69	2596	34496
70	2628	34393
71	2661	34297
72	2692	34196
73	2735	34225
74	2775	34227
75	2806	34121
76	2838	34026
77	2869	33921
78	2901	33828
79	2933	33739
80	2965	33649
81	2998	33564
82	3030	33479
83	3062	33394
84	3093	33302
85	3125	33222
86	3158	33146
87	3193	33092
88	3228	33047
89	3271	33075
90	3306	33025
91	3341	32978
92	3375	32920
93	3408	32849
94	3440	32773
95	3472	32698
96	3503	32616
97	3535	32543
98	3567	32463
99	3598	32384
100	3629	32304
101	3682	32418
102	3718	32381
103	3755	32357
104	3796	32361
105	3833	32331
106	3866	32269
107	3906	32261
108	3939	32204
109	3971	32136
110	4004	32075
111	4039	32023
112	4073	31972
113	4104	31903
114	4138	31848
115	4172	31800
116	4206	31744
117	4241	31706
118	4274	31648
119	4313	31628
120	4346	31574
121	4381	31530
122	4416	31487
123	4448	31429
124	4481	31370
125	4514	31315
126	4551	31285
127	4585	31237
128	4618	31184
129	4650	31123
130	4682	31063
131	4719	31035
132	4756	31005
133	4790	30957
134	4823	30903
135	4867	30925
136	4901	30876
137	4934	30822
138	4966	30766
139	5001	30723
140	5033	30663
141	5068	30627
142	5100	30565
143	5133	30514
144	5166	30465
145	5199	30414
146	5235	30379
147	5269	30335
148	5301	30277
149	5331	30212
150	5373	30211
151	5404	30153
152	5436	30096
153	5467	30037
154	5501	29994
155	5533	29937
156	5564	29878
157	5596	29825
158	5627	29767
159	5658	29704
160	5689	29646
161	5729	29639
162	5762	29589
163	5795	29543
164	5825	29481
165	5857	29430
166	5899	29425
167	5932	29378
168	5963	29321
169	5997	29282
170	6030	29233
171	6068	29214
172	6101	29168
173	6132	29112
174	6168	29082
175	6203	29043
176	6240	29014
177	6274	28974
178	6307	28930
179	6343	28897
180	6379	28867
181	6416	28839
182	6450	28798
183	6482	28747
184	6515	28702
185	6547	28652
186	6578	28599
187	6612	28558
188	6643	28508
189	6675	28459
190	6712	28432
191	6746	28390
192	6777	28339
193	6810	28293
194	6842	28245
195	6875	28203
196	6907	28156
197	6941	28116
198	6978	28089
199	7021	28084
200	7057	28054
201	7114	28105
202	7154	28089
203	7187	28045
204	7222	28008
205	7254	27962
206	7286	27912
207	7318	27867
208	7351	27824
209	7383	27777
210	7415	27730
211	7449	27689
212	7489	27673
213	7523	27633
214	7554	27582
215	7586	27535
216	7617	27486
217	7648	27437
218	7679	27385
219	7713	27346
220	7746	27306
221	7777	27257
222	7811	27216
223	7842	27168
224	7876	27129
225	7907	27081
226	7941	27041
227	7972	26995
228	8016	26989
229	8050	26951
230	8081	26903
231	8114	26860
232	8146	26815
233	8178	26771
234	8211	26729
235	8246	26695
236	8276	26644
237	8309	26605
238	8341	26560
239	8373	26514
240	8406	26476
241	8439	26433
242	8473	26397
243	8507	26359
244	8545	26335
245	8578	26293
246	8606	26236
247	8637	26192
248	8668	26145
249	8703	26111
250	8739	26078
251	8771	26035
252	8804	25994
253	8836	25952
254	8868	25909
255	8898	25862
256	8931	25820
257	8961	25774
258	8993	25730
259	9024	25686
260	9067	25673
261	9099	25631
262	9132	25590
263	9164	25548
264	9195	25504
265	9229	25468
266	9262	25427
267	9293	25384
268	9324	25339
269	9357	25301
270	9390	25261
271	9422	25218
272	9483	25254
273	9526	25242
274	9572	25236
275	9623	25243
276	9673	25249
277	9718	25240
278	9757	25214
279	9790	25175
280	9826	25143
281	9860	25105
282	9892	25063
283	9924	25021
284	9960	24988
285	9993	24949
286	10024	24904
287	10056	24861
288	10088	24820
289	10129	24800
290	10162	24759
291	10193	24716
292	10226	24676
293	10260	24639
294	10292	24598
295	10324	24554
296	10356	24513
297	10387	24470
298	10421	24432
299	10455	24395
300	10486	24353
301	10537	24356
302	10573	24322
303	10604	24279
304	10640	24245
305	10675	24212
306	10713	24184
307	10745	24142
308	10778	24102
309	10808	24057
310	10841	24019
311	10873	23976
312	10904	23933
313	10936	23892
314	10968	23851
315	11000	23810
316	11031	23767
317	11064	23728
318	11095	23687
319	11127	23644
320	11158	23604
321	11197	23577
322	11231	23541
323	11264	23501
324	11295	23460
325	11329	23422
326	11362	23385
327	11395	23347
328	11425	23303
329	11459	23266
330	11491	23226
331	11522	23183
332	11554	23142
333	11584	23100
334	11617	23060
335	11649	23022
336	11684	22987
337	11727	22968
338	11760	22930
339	11791	22889
340	11835	22872
341	11866	22830
342	11897	22789
343	11928	22746
344	11959	22706
345	11993	22669
346	12025	22629
347	12058	22591
348	12091	22554
349	12134	22534
350	12167	22498
351	12206	22471
352	12246	22446
353	12282	22414
354	12314	22374
355	12346	22335
356	12377	22293
357	12410	22255
358	12445	22221
359	12477	22183
360	12509	22143
361	12541	22103
362	12575	22067
363	12610	22032
364	12642	21994
365	12677	21959
366	12716	21932
367	12756	21908
368	12789	21870
369	12821	21830
370	12855	21794
371	12886	21754
372	12917	21713
373	12950	21675
374	12982	21637
375	13012	21595
376	13046	21559
377	13077	21519
378	13110	21481
379	13141	21441
380	13172	21400
381	13209	21370
382	13243	21335
383	13278	21300
384	13316	21271
385	13350	21237
386	13382	21196
387	13412	21156
388	13444	21117
389	13475	21076
390	13508	21039
391	13539	20999
392	13569	20958
393	13600	20918
394	13631	20878
395	13665	20844
396	13700	20810
397	13734	20773
398	13767	20737
399	13799	20698
400	13836	20667
401	13892	20666
402	13925	20629
403	13957	20590
404	13988	20551
405	14023	20516
406	14054	20477
407	14093	20448
408	14128	20414
409	14162	20380
410	14199	20348
411	14239	20321
412	14274	20288
413	14309	20253
414	14351	20230
415	14386	20195
416	14422	20164
417	14457	20129
418	14492	20095
419	14527	20061
420	14562	20027
421	14597	19993
422	14631	19958
423	14670	19929
424	14707	19898
425	14741	19863
426	14776	19828
427	14812	19796
428	14847	19762
429	14888	19735
430	14924	19702
431	14959	19669
432	14993	19633
433	15030	19602
434	15066	19569
435	15112	19549
436	15152	19521
437	15189	19489
438	15229	19461
439	15265	19428
440	15302	19397
441	15338	19363
442	15373	19330
443	15417	19306
444	15455	19275
445	15492	19243
446	15526	19208
447	15559	19171
448	15599	19142
449	15641	19117
450	15676	19083
451	15713	19050
452	15746	19013
453	15778	18976
454	15810	18938
455	15848	18907
456	15883	18872
457	15922	18842
458	15954	18805
459	15983	18763
460	16015	18724
461	16046	18686
462	16079	18649
463	16112	18612
464	16144	18574
465	16175	18536
466	16211	18502
467	16242	18463
468	16274	18425
469	16306	18388
470	16338	18350
471	16368	18311
472	16401	18274
473	16433	18236
474	16474	18208
475	16506	18171
476	16536	18131
477	16569	18094
478	16603	18059
479	16634	18020
480	16671	17988
481	16705	17953
482	16736	17915
483	16765	17873
484	16795	17834
485	16827	17797
486	16858	17759
487	16889	17720
488	16928	17690
489	17032	17728
490	17081	17707
491	17123	17680
492	17163	17650
493	17206	17624
494	17244	17592
495	17287	17566
496	17334	17543
497	17375	17515
498	17423	17493
499	17473	17473
500	17526	17456
501	17590	17449
502	17626	17416
503	17669	17389
504	17708	17358
505	17751	17330
506	17792	17301
507	17836	17275
508	17884	17251
509	17921	17218
510	17956	17183
511	17993	17150
512	18039	17124
513	18079	17094
514	18114	17059
515	18150	17024
516	18184	16988
517	18221	16955
518	18259	16923
519	18297	16889
520	18334	16856
521	18368	16820
522	18402	16784
523	18439	16750
524	18483	16723
525	18515	16685
526	18547	16647
527	18586	16615
528	18620	16578
529	18655	16543
530	18691	16509
531	18725	16472
532	18759	16436
533	18790	16397
534	18822	16359
535	18854	16321
536	18886	16283
537	18917	16245
538	18952	16210
539	18984	16171
540	19016	16134
541	19048	16096
542	19086	16063
543	19120	16027
544	19151	15988
545	19185	15953
546	19218	15915
547	19250	15877
548	19283	15841
549	19313	15802
550	19345	15764
551	19378	15727
552	19409	15688
553	19440	15650
554	19471	15612
555	19502	15574
556	19534	15536
557	19566	15499
558	19597	15460
559	19639	15431
560	19676	15397
561	19709	15360
562	19742	15324
563	19775	15287
564	19805	15248
565	19838	15211
566	19869	15173
567	19903	15137
568	19940	15104
569	19973	15068
570	20015	15037
571	20051	15003
572	20096	14976
573	20155	14958
574	20199	14930
575	20236	14896
576	20272	14861
577	20309	14827
578	20344	14792
579	20378	14756
580	20412	14720
581	20447	14685
582	20482	14650
583	20514	14613
584	20547	14576
585	20580	14539
586	20614	14504
587	20652	14471
588	20695	14441
589	20729	14404
590	20760	14367
591	20792	14330
592	20826	14294
593	20860	14258
594	20892	14220
595	20925	14184
596	20957	14147
597	20991	14111
598	21025	14075
599	21060	14040
600	21094	14004
601	21151	13983
602	21197	13956
603	21243	13927
604	21289	13899
605	21331	13869
606	21377	13840
607	21427	13815
608	21634	13890
609	21684	13863
610	21726	13832
611	21775	13805
612	21821	13776
613	21870	13749
614	21912	13717
615	21958	13688
616	21996	13654
617	22034	13620
618	22088	13595
619	22141	13570
620	22198	13547
621	22247	13520
622	22302	13496
623	22346	13465
624	22387	13432
625	22429	13400
626	22477	13372
627	22514	13336
628	22550	13301
629	22597	13271
630	22646	13243
631	22697	13216
632	22748	13188
633	22799	13162
634	22847	13132
635	22886	13098
636	22937	13070
637	22988	13043
638	23041	13017
639	23116	13003
640	23194	12990
641	23278	12980
642	23358	12968
643	23394	12932
644	23428	12894
645	23460	12855
646	23493	12818
647	23529	12781
648	23562	12743
649	23597	12706
650	23634	12670
651	23668	12632
652	23702	12595
653	23739	12559
654	23783	12527
655	23816	12489
656	23851	12452
657	23884	12414
658	23927	12381
659	23976	12351
660	24023	12320
661	24071	12290
662	24115	12257
663	24157	12224
664	24205	12193
665	24243	12158
666	24283	12123
667	24319	12087
668	24368	12056
669	24406	12021
670	24440	11983
671	24478	11948
672	24513	11910
673	24547	11873
674	24580	11835
675	24613	11797
676	24646	11758
677	24679	11720
678	24709	11681
679	24741	11643
680	24772	11604
681	24803	11565
682	24838	11528
683	24870	11490
684	24904	11452
685	24936	11414
686	24969	11376
687	25003	11338
688	25034	11300
689	25068	11262
690	25100	11224
691	25130	11185
692	25162	11146
693	25193	11108
694	25225	11070
695	25258	11032
696	25289	10993
697	25322	10956
698	25353	10917
699	25384	10879
700	25417	10841
701	25450	10803
702	25482	10765
703	25515	10727
704	25546	10689
705	25578	10651
706	25611	10613
707	25644	10576
708	25676	10538
709	25709	10500
710	25740	10462
711	25771	10424
712	25803	10386
